Argument ID	Part	Usage	Conclusion	Stance	Premise
A05018	usa	train	The Olympics should be abolished.	in favor of	The olympic games cause a lot of turmoil.
A05019	usa	train	Affirmative action should be ended.	in favor of	Affirmative action caters to people who feel like they were discriminated against.
A05020	usa	train	Holocaust denial should be a crime.	against	It is up to one's discretion what they believe or not to believe.
A05021	usa	train	We should allow the use of cannabis.	in favor of	Gang-related drug violence would be reduced if marijuana were legalized.
A05022	usa	train	We should use neutral language.	in favor of	We should use gender-neutral language because it avoids offending people with gender Stereo-types.
A05023	usa	train	We should stop algorithmic trading.	in favor of	The economy should be manipulated to benefit stockholders.
A05024	usa	train	We should fight for our communities.	against	People move away from high crime areas when they are urban.
A05025	usa	train	Holocaust denial should be a crime.	against	Everyone should have the right to their own opinion.
A05026	usa	train	The blockade of the Gaza Strip should be ended.	in favor of	blockade means occupation which is illegal and should be stopped
A05027	usa	train	We should stop whaling.	against	Humans are entitled to hunt animals to eat them and use them to benefit, just like in the whaling industry.
A05028	usa	train	We should not use child actors.	in favor of	The world of show has shown that children are very harmful.
A05029	usa	train	Celibacy should be abandoned.	in favor of	Abandoning the vow of celibacy can be used to fill a serious shortage of priests.
A05030	usa	train	Women should not be in combat.	against	Women have proven that they can do the same things as men in many fields, and who's to say they can't also be good soldiers?
A05031	usa	train	Executive compensation should be limited.	in favor of	We should limit the earnings of executives because they get a lot of money.
A05032	usa	train	We should not allow flag burning.	in favor of	flag burning is a treasonous act which should be punished severely.
A05033	usa	train	We should support stem cell research.	against	This research is against many religions.
A05034	usa	train	The three-strikes laws should be abolished.	in favor of	Three is an arbitrary number and may not be appropriate for some crimes.
A05035	usa	train	We should subsidize stay-at- home dads.	against	There are better uses of money.
A05036	usa	train	We should stop mandatory retirement.	in favor of	Businesses lose experience and knowledge when they retire.
A05037	usa	train	Intelligence tests can bring harm.	in favor of	Intelligence tests can prevent someone from pursuing their passion, which may be possible with hard work.
A05038	usa	train	It should be a criminal offense to assist in suicide.	against	Why make someone suffer if they are in extreme pain?
A05043	usa	train	We should fight for our communities.	in favor of	Climate change and pollution can be caused by urbanization.
A05045	usa	train	We should support the encyclopedia.	against	It can cause it to provide biased information.
A05048	usa	train	We should not serve fast food.	against	If you ban fast food, you are taking away someone's only meal.
A05049	usa	train	We should not allow school prayer.	in favor of	A person's right to follow their religion is violated by prayer in schools.
A05050	usa	train	We should have compulsory voting.	against	People's liberties and freedoms are being violated by compulsory voting.
A05052	usa	train	We should stop using economic sanctions.	against	Economic sanctions can help deter threats against our nation.
A05053	usa	train	We should have compulsory voting.	in favor of	More informed voters are made aware of compulsory voting.
A05054	usa	train	libertarianism should be adopted by us.	against	If everyone follows certain rules and behaves in a certain way, no one will help each other, that's why we need to adopt certain rules.
A05055	usa	train	We should stop profiling people.	in favor of	I don't think wearing blue jeans and a tie dye shirt makes me a hippie.
A05056	usa	train	We should close the camp.	in favor of	The bay is outdated and barbaric.
A05057	usa	train	We should support the encyclopedia.	against	The validity of the articles and information provided could be debasing if the subsidies were to be used.
A05058	usa	train	We should stop the pride parades.	against	People are encouraged to claim their rights at pride parades.
A05059	usa	train	We should stop the pride parades.	against	Pride parades can show that we are tolerant.
A05062	usa	train	Entrapment should be legalized.	against	It is better to use active criminals than to use a deceptive method of catching criminals.
A05063	usa	train	We should stop factory farming.	in favor of	It should be banned so that it doesn't take away our farms and cause more global warming.
A05064	usa	train	We should stop zoos.	against	Zoos have successfully bred animals which were on the verge of extinction.
A05065	usa	train	We should not be married.	against	We should not abandon marriage because it will increase single parenting and create unstable households for children.
A05066	usa	train	It should be a criminal offense to assist in suicide.	in favor of	The intentional death of a human being is the basis of assisted suicide.
A05067	usa	train	We should not allow cosmetic surgery for children.	in favor of	Minors should not be allowed to have cosmetic surgery because they are not finished growing and have a mature background to make a sound decision.
A05069	usa	train	We should have a multi-party system.	against	The two-party system is more convenient to operate than a multi-party system.
A05071	usa	train	We should not clone humans.	in favor of	Human cloning is allowed because the parents want their child to be grown according to their wishes.
A05072	usa	train	We should not be married.	in favor of	Marriage can offend the non- religious.
A05073	usa	train	We should stop whaling.	in favor of	The whale population is being killed by whaling.
A05074	usa	train	We should adopt a regime of austerity.	in favor of	An austerity regime will help to reduce the deficit.
A05075	usa	train	We should adopt a regime of austerity.	against	People should not have to pay more taxes to help the government.
A05076	usa	train	We should support space exploration.	in favor of	Subsidizing space exploration would bring us closer to learning and understanding what is beyond our planet because there is so much more to explore and learn.
A05077	usa	train	We should support journalism.	against	There is enough coverage of major issues from different viewpoints without government action, so we should not subsidize journalism.
A05078	usa	train	Social media can bring harm.	in favor of	Social media causes people to judge themselves too harshly in comparison to others online, which is more harm than good.
A05079	usa	train	Foster care can bring harm.	in favor of	Children in the foster care system have issues that can destroy a family.
A05080	usa	train	We should stop telemarketers.	against	Telemarketing allows people to learn about new products from their own homes, so we should not ban it.
A05081	usa	train	Capital punishment should be abolished.	against	If a criminal is sentenced to death and is later released, they may commit more serious crimes because they cannot be rehabilitated.
A05082	usa	train	We should stop algorithmic trading.	in favor of	Some people have an unfair advantage with algorithmic trading.
A05083	usa	train	Prostitution should be legalized.	in favor of	Sex trade workers and clients will be safe if prostitution is legalized.
A05084	usa	train	Celibacy should be abandoned.	in favor of	celibacy should be abandoned because people can get frustrated and take it out on other people if they don't have sex.
A05086	usa	train	We should stop telemarketers.	in favor of	telemarketing is intrusive and violates privacy
A05087	usa	train	We should stop mandatory retirement.	in favor of	We should end mandatory retirement because it takes skilled people out of jobs that they are good at.
A05088	usa	train	We should stop using school uniforms.	in favor of	If you don't have to wear a uniform, you can choose clothing styles that are more suited to your body type and coloring, which will allow you to look your best.
A05090	usa	train	We should stop using school uniforms.	in favor of	Children are forced into wearing uniforms to conform to society's way of thinking.
A05091	usa	train	We should fight for the abolition of nuclear weapons.	against	Nuclear weapons can bring about a certain level of respect.
A05092	usa	train	The Church of Scientologists should be banned.	in favor of	Scientology is a wealthy cult that is abused physically and financially.
A05093	usa	train	We should not use child actors.	in favor of	The actors lose their childhood sense.
A05095	usa	train	The three-strikes laws should be abolished.	against	The three strikes are a deterrent.
A05096	usa	train	We should not allow school prayer.	against	A non-denominational school prayer is just as bad as a pledge of allegiance in school.
A05097	usa	train	We should not tolerate any kind of behavior in schools.	in favor of	Children need to learn consequences for their actions.
A05098	usa	train	Executive compensation should be limited.	against	Executive compensation should be equal to their contribution to the organisation, as we should not limit it.
A05099	usa	train	We should stop allowing the right to keep and bear arms.	in favor of	It will decrease the number of crimes.
A05100	usa	train	It should be banned.	against	Sometimes a health issue prevents a good mother from having a baby, and that's why it shouldn't be banned.
A06001	usa	train	Celibacy should be abandoned.	against	One way to keep moral strength is to not have sex.
A06002	usa	train	We should stop using economic sanctions.	against	Economic sanctions can be a proportional punishment.
A06003	usa	train	We should stop the development of cars.	in favor of	The cost of self-driving cars is too high.
A06004	usa	train	We should stop using school uniforms.	in favor of	It might not be affordable for everyone to have school uniforms.
A06005	usa	train	We should stop mandatory retirement.	against	Companies can make space for new workers more easily with the help of mandatory retirement.
A06006	usa	train	We should fight for our communities.	in favor of	Animals are being killed off by urbanization.
A06007	usa	train	We should allow polygamy.	in favor of	Polygamy can lead to more stable households as there will be more adults per child than in a two-parent house.
A06008	usa	train	We should not tolerate any kind of behavior in schools.	in favor of	A zero tolerance policy at school is a good idea because children need to be disciplined and it might cut crime in the future.
A06010	usa	train	We should stop using safe spaces.	in favor of	Race, gender and religion are topics that are not discussed in safe spaces.
A06011	usa	train	We should stop using economic sanctions.	in favor of	Economic sanctions are not good for the economies of smaller countries.
A06012	usa	train	We should not allow naturopathy.	in favor of	Since it's a field that has very little supervision, and the results of people believing and using it could be devastating to their health, we should ban it.
A06013	usa	train	It should be banned.	in favor of	A surrogate carrying a baby could try to keep it.
A06014	usa	train	Social media can bring harm.	against	The platform is not the cause of the negative consequences, it is human nature.
A06015	usa	train	We should not use child actors.	in favor of	Child actors are put under a lot of pressure and should be grown up with a stable life.
A06016	usa	train	Public defenders should be compulsory.	in favor of	If everyone had a public defender, their representation would not be dependent on their income.
A06019	usa	train	Prostitution should be legalized.	in favor of	Prostitution should be legal as it can be monitored and controlled.
A06020	usa	train	We should stop the pride parades.	against	The fight for equality is a crucial part of the gay community.
A07001	usa	train	We should stop the pride parades.	against	People make connections at pride parades.
A07002	usa	train	Affirmative action should be ended.	in favor of	Affirmative action is a way of reverse discrimination because it singles out certain people and groups.
A07003	usa	train	We should subsidize stay-at- home dads.	against	Lower income families abuse the system that rewards parenthood.
A07004	usa	train	Women should not be in combat.	in favor of	Women don't have the physical abilities that men do, which is a problem in life and death combat situations.
A07008	usa	train	We should stop using economic sanctions.	in favor of	Economic sanctions are used to bully other nations to act in your own interest.
A07009	usa	train	Private military companies should be banned.	in favor of	Private military companies should be banned because governments can't be trusted.
A07010	usa	train	Prostitution should be legalized.	against	It sets a bad example for younger generation and takes them away from ethics.
A07011	usa	train	We should support space exploration.	against	Space exploration is a low priority and should not be subsidized.
A07012	usa	train	We should support journalism.	in favor of	In an era of fake news and social media, journalism is more important than ever.
A07013	usa	train	There should be a ban on the use of payday loans.	against	People can use a company that gives them a loan without waiting for their paycheck.
A07014	usa	train	The Olympics should be abolished.	in favor of	Bringing together different nations with different governments is dangerous.
A07015	usa	train	Foster care can bring harm.	in favor of	A child is put into foster care and separated from their siblings.
A07016	usa	train	We should stop factory farming.	in favor of	Factory farming is immoral and wrong.
A07018	usa	train	We should not allow school prayer.	in favor of	We need to prohibit school prayer as not everyone agrees with it and it should not be compulsory on anyone.
A07019	usa	train	We should stop mandatory retirement.	against	Setting a mandatory retirement age allows younger generations to move up the ladder and support their families.
A07020	usa	train	The Olympics should be abolished.	in favor of	The olympic games encourage animosity.
A07021	usa	train	We should adopt a regime of austerity.	against	The chance of reducing the debt is at risk because of austerity.
A07022	usa	train	We should use neutral language.	in favor of	There are more than two genders today, and so gender-neutral language makes sense.
A07023	usa	train	We should stop using safe spaces.	in favor of	People need to stop trying to always be protected from things they don't like in order to live in a world that is more open.
A07024	usa	train	There should be a ban on the use of payday loans.	against	Sometimes people need emergency funds because they have no other options.
A07025	usa	train	Capital punishment should be abolished.	in favor of	There are too many historical cases where innocent people have been put to death.
A07026	usa	train	We should have a multi-party system.	in favor of	Voters can choose from more than one party in multi-party systems.
A07027	usa	train	Social media can bring harm.	against	Family members can be connected on social media.
A07028	usa	train	We should allow polygamy.	in favor of	Polygamy is a way of life for many people and should not be against the law.
A07029	usa	train	It should be banned.	against	Sometimes the only way to have a child of your own is to have a surrogate.
A07030	usa	train	Public defenders should be compulsory.	in favor of	This is a right that is in the 6th amendment and should be protected.
A07031	usa	train	Intellectual property rights should be abolished.	against	Intellectual property rights are important for artists and scientists to have their ideas protected so that they can make a living in their fields.
A07032	usa	train	Prostitution should be legalized.	in favor of	Prostitution should be legal with the freedom it has these days.
A07033	usa	train	We should stop the development of cars.	in favor of	If the equipment fails, they can cause accidents.
A07034	usa	train	We should allow the use of cannabis.	against	Cannabis is harmful to people and can lead on to them using harder drugs so it should be illegal.
A07035	usa	train	We should fight for our communities.	against	We need more housing which will be increased by urbanization.
A07037	usa	train	We should not serve fast food.	against	We all have the right to eat what we want, but we can't prohibit a specific type of food.
A07038	usa	train	We should stop using school uniforms.	in favor of	Allowing students to make their own choices about their clothes prepares them for adulthood.
A07040	usa	train	We should not be married.	against	Children from parents who are committed to each other grow up to be more well adjusted.
A07042	usa	train	Entrapment should be legalized.	in favor of	Sometimes it is necessary to use entrapment to get the proof of criminal activity.
A07043	usa	train	We should not do cosmetic surgery.	in favor of	Doctors who offer the service should focus on treating real illnesses.
A07044	usa	train	The Church of Scientologists should be banned.	in favor of	The church of scientology is harming society.
A07045	usa	train	We should support the encyclopedia.	against	There is no need to subsidize a site that is not needed.
A07046	usa	train	libertarianism should be adopted by us.	against	We need the government to provide unprofitable services in order to not adopt libertarianism.
A07048	usa	train	We should subsidize stay-at- home dads.	in favor of	You are allowing stay at home dads to form a bond with their child that they would never be able to have, and still allow them enough money to provide their basic needs, because you are subsidizing them.
A07049	usa	train	We should stop allowing the right to keep and bear arms.	against	The right to keep and bear arms is protected by the government and should be the same for everyone.
A07050	usa	train	We should allow the use of cannabis.	in favor of	It is not worse than alchohol.
A07051	usa	train	We should stop the pride parades.	against	Everyone has the right to do what they want, as long as it doesn't hurt others.
A07052	usa	train	Intelligence tests can bring harm.	against	Intelligence tests help teachers identify deficient students in a group.
A07053	usa	train	We should stop algorithmic trading.	against	We should support algorithmic trading because it gives orders a jump start and it doesn't take long to produce an order.
A07054	usa	train	We should stop using economic sanctions.	in favor of	If economic sanctions are ended, it will lead to a more fair trade market.
A07055	usa	train	We should stop using school uniforms.	against	School uniforms are a way to keep our kids from looking sexualized.
A07056	usa	train	We should not allow flag burning.	in favor of	Civil peace is disrupted by flag burning.
A07058	usa	train	The Church of Scientologists should be banned.	in favor of	The church of scientology is a litigation-happy organization that serves no good purpose in the world.
A07059	usa	train	We should stop zoos.	in favor of	Animals in zoos are often mistreated.
A07060	usa	train	We should allow organ trade.	in favor of	People with rare blood types can find an organ if there is a sale.
A07061	usa	train	We should stop allowing the right to keep and bear arms.	against	The right to bear arms is a fundamental right and should be protected.
A07062	usa	train	We should stop the development of cars.	against	The development of self-driving cars is a moral imperative.
A07063	usa	train	We should have a multi-party system.	against	The formation of weak and unstable coalition governments is caused by the adoption of a multi-party system.
A07065	usa	train	Celibacy should be abandoned.	against	celibacy is in accordance with their religion so it wouldn't make sense to abandon it.
A07066	usa	train	We should not use child actors.	against	We need child actors to show the world as it is, not adults.
A07068	usa	train	Executive compensation should be limited.	against	Executives should be compensated for the profits they give to shareholders.
A07069	usa	train	We should support stem cell research.	against	It is against certain religious beliefs and can be seen as immoral.
A07070	usa	train	The blockade of the Gaza Strip should be ended.	in favor of	The gaza strip is no longer necessary as both sides have come to an agreement.
A07071	usa	train	We should close the camp.	in favor of	Waterboarding, sleep deprivation, and other forms of physical abuse have been used on the prisoners at the US naval base in Cuba.
A07073	usa	train	We should not use child actors.	against	We should not ban the use of child actors because we wouldn't have the shows and movies that are available.
A07074	usa	train	We should support journalism.	in favor of	We must subsidize investigative journalism in order to have reliable news sources.
A07075	usa	train	We should not allow cosmetic surgery for children.	against	There are legitimate cases when it would improve a young person's mental health, so we shouldn't ban it for minor children.
A07076	usa	train	We should not tolerate any kind of behavior in schools.	in favor of	Being a victim of school bully is a major risk factor for developing mental health problems.
A07077	usa	train	We should adopt a regime of austerity.	in favor of	An austerity regime would eliminate the national debt by redirecting money to where it is needed the most.
A07078	usa	train	It should be a criminal offense to assist in suicide.	against	If the medical condition of a person is irreversible, it must have the right to request assistance in ending his life without consequences.
A07079	usa	train	We should stop algorithmic trading.	in favor of	People have an unfair advantage over the rest of the field.
A07080	usa	train	The three-strikes laws should be abolished.	against	It makes sense to lock them away if they are committing crimes against the population.
A07081	usa	train	Holocaust denial should be a crime.	against	People should be free to believe what they want to believe.
A07082	usa	train	libertarianism should be adopted by us.	against	libertarianism will allow people to take advantage of the freedoms and eventually affect other people's freedoms, so we should not adopt it.
A07084	usa	train	We should fight for the abolition of nuclear weapons.	in favor of	The abolition of nuclear weapons is a very important goal.
A07085	usa	train	It should be banned.	against	A family with a child is better than that.
A07086	usa	train	Social media can bring harm.	against	A picture is posted to help find a missing child.
A07087	usa	train	We should have compulsory voting.	against	Every person should be able to decide if they want to vote.
A07088	usa	train	Holocaust denial should be a crime.	against	People have freedom of speech, and ignorant people are not criminals.
A07089	usa	train	We should stop telemarketers.	against	Customers will not be able to see new products if telemarketing is banned.
A07090	usa	train	We should not allow naturopathy.	against	If people choose to use naturopathy, that is their right.
A07092	usa	train	We should not allow school prayer.	in favor of	The separation of church and state is necessary because schools are not suppose to be involved with any particular religion.
A07093	usa	train	We should not clone humans.	against	Perfect matches for organ transplants can be provided by human cloning.
A07094	usa	train	Intellectual property rights should be abolished.	in favor of	Intellectual property rights should be abolished if innovation is not allowed.
A07096	usa	train	We should stop telemarketers.	in favor of	If I wanted to buy something, I would know where to look without being bothered by calls.
A07097	usa	train	We should stop whaling.	against	It is not our place to dictate terms to other countries about whaling, which is an important part of the diet, tradition and economies of many countries.
A07098	usa	train	We should support the encyclopedia.	in favor of	Due to lack of resources, the encyclopedia should not be allowed to go under.
A07099	usa	train	Foster care can bring harm.	in favor of	Foster care can not meet the needs of children.
A07100	usa	train	We should stop profiling people.	in favor of	People should not be subjected to police searches just because of their skin color.
A08001	usa	train	We should not tolerate any kind of behavior in schools.	in favor of	A zero tolerance policy will make the children behave in a way that is not in line with the rules.
A08002	usa	train	Holocaust denial should be a crime.	in favor of	holocaust denial is a heinous act that was committed against the jews and it is offensive to the jewish community that some people deny it occurred.
A08003	usa	train	The Church of Scientologists should be banned.	against	People have to be able to follow their own religious beliefs.
A08004	usa	train	The blockade of the Gaza Strip should be ended.	in favor of	Killing innocent people, including kids for years, must be stopped and all world should be ashamed to watch it.
A08005	usa	train	libertarianism should be adopted by us.	in favor of	The country needs to adopt less intervention.
A08007	usa	train	libertarianism should be adopted by us.	in favor of	libertarianism is the path to true freedom and independence for all.
A08008	usa	train	Entrapment should be legalized.	in favor of	If you are entrapped, you will show if you commit a crime.
A08009	usa	train	We should stop allowing the right to keep and bear arms.	against	The right to carry firearms is a deterrent for politicians who are authoritarian.
A08011	usa	train	We should stop using safe spaces.	in favor of	People who don't like to talk about issues in a civilized way are able to find safe spaces.
A08012	usa	train	We should not clone humans.	in favor of	Humans don't have the right to play god.
A08013	usa	train	We should stop allowing the right to keep and bear arms.	in favor of	The owner and his/her family are more at risk from firearms than any other person.
A08014	usa	train	We should stop mandatory retirement.	against	dismissal procedures would likely begin earlier if there was a mandatory retirement age.
